GID_2,within_april_mean_over_december,temp,spechum,Population,sqkm,crowding30s,crowding2point5m,crowding15m,crowding30m,crowd1d,density
ITA.1.1_1,,52.6872099522047,0.0051821567778874,390831.425121238,2582.26710773906,1377.64806759735,9438.65898525304,102545.40321102,295026.060486234,NA,151.352051826829
ITA.1.2_1,,38.0858491366019,0.00354477556828685,300396.272854536,5034.44682748802,1112.71676535109,7857.65760850446,42855.8517254452,82867.659320731,400462.275586844,59.6681786794084
ITA.1.3_1,,51.862754008634,0.00512493365665652,330172.768721128,1223.69672363924,2155.90786819771,21051.3938899344,246584.649925839,NA,NA,269.815847622116
ITA.1.4_1,,51.5663407724329,0.00499751885245577,315368.542791352,1943.1312631775,1119.88811161432,7833.63860984681,98110.2276611273,159996.172454953,NA,162.299145079703
ITA.10.1_1,,41.4536260792476,0.00367794330043127,1203272.89031834,2745.67085106521,1724.90626324911,20875.1487164793,369972.492060951,894349.254162741,NA,438.243677260701
ITA.10.10_1,,51.0063390379278,0.00507869193840906,588117.424626614,2971.26654406433,1524.82674532417,11189.5437747149,107059.246797251,360236.219664527,871073.798326388,197.934926370537
ITA.10.11_1,,32.8817372032069,0.00281551210281778,185471.461349467,3232.10721852759,943.799185832076,5694.92043102728,29802.2123841545,62378.9742975194,187400.380309487,57.3840682902716
ITA.10.12_1,,51.5375479879741,0.00470717222034414,930491.793954602,1192.39573004215,1587.12526140937,20506.66417932,283421.66976122,775297.703841179,NA,780.354852429497
ITA.10.2_1,,48.3858524128893,0.00445306651988554,1375488.77213111,4792.62903435217,1497.35495254269,14777.2682266022,261935.856385994,710816.877550779,1545856.93265289,287.00088453999
ITA.10.3_1,,49.6685692260253,0.00424774359161871,637528.197829631,1273.38485134208,1403.6684583409,17427.5763678117,190945.93539058,419250.439506251,NA,500.656339014644
ITA.10.4_1,,51.1621993524514,0.00500053265094285,382688.559167899,1769.97489201692,1394.4644715667,9488.62573639742,97063.7377879615,203098.919188555,551216.644122638,216.211292540889
ITA.10.5_1,,39.1639725948196,0.00350880654823946,362057.070676352,815.111866937233,1341.29462891917,15056.4177284545,323694.430251392,542403.834164572,NA,444.180836228988
ITA.10.6_1,,50.9120654101141,0.00501049940353954,259427.603819636,799.795366677679,1549.02439747597,9563.12429401116,126449.640335229,379220.694185577,NA,324.367475267191
ITA.10.7_1,,51.6786933395005,0.00505914496477746,437095.981394159,2343.20062227185,1099.00254249732,7740.08591806621,82268.0109071249,299346.385843118,648655.814892191,186.538010121546
ITA.10.8_1,,52.1680207369719,0.00488362100756454,3156956.94176822,1561.65114349493,4757.24113084298,79171.424767422,1174549.84572312,1838802.15691148,NA,2021.55068686021
ITA.10.9_1,,52.4143071615788,0.00464611858736029,910014.601029925,402.149832533332,2638.0740361317,38753.9563960991,669820.932732347,NA,NA,2262.87449952997
ITA.11.1_1,,52.0658269734813,0.00527988347380735,493250.760464897,1952.52364048641,1790.75114593833,15356.2757799097,93312.0808550232,299662.192958473,NA,252.622170731832
ITA.11.2_1,,50.8558996299722,0.00486754939088246,215278.92906221,1223.60129361328,1756.93007148928,13110.4819365425,112241.722756856,117401.432427695,NA,175.938788383015
ITA.11.3_1,,51.744130049337,0.00517156775348402,179047.982836569,857.090814339809,1131.64955084907,6869.64711780624,92087.691926788,91405.9530312378,NA,208.901997129073
ITA.11.4_1,,50.8317385522664,0.00501245680056176,331067.950037066,2774.2563807877,1320.73256766676,7740.37060363494,80759.5236663476,225097.45030099,NA,119.335744284407
ITA.11.5_1,,49.1688534921369,0.00483591462882498,406027.282391341,2884.64417230508,1510.11348832911,14568.29587244,115796.53579425,324425.233386364,555246.138764804,140.754719867889
ITA.12.1_1,,47.084553654024,0.00469692582600495,223253.741733079,2905.37813699112,1336.00179021414,8410.94135912225,43234.3303977288,80141.601770447,NA,76.8415439252552
ITA.12.2_1,,42.9883148319457,0.00418020248150828,85489.3463164414,1527.39113610644,1037.75536684089,4823.58565442022,29196.7769295718,102426.404576789,NA,55.9708278354734
ITA.13.1_1,,50.0368879124268,0.00496579149469404,436622.135621749,3561.21979310086,1730.22612128998,11063.4311688809,71303.4779505953,172627.770066577,650484.66635174,122.604658231883
ITA.13.2_1,,50.1343730727721,0.00479303595178438,226331.558208485,1510.66048730545,1370.62913503755,13530.5491542853,73176.6684414334,282124.570579395,NA,149.822915281374
ITA.13.3_1,,49.4620312981807,0.00437101801034523,177769.207785516,912.542402433562,986.549921379198,11488.3385575476,96239.6198263171,NA,NA,194.806517824752
ITA.13.4_1,,49.323846168671,0.00423999281730335,617811.867241294,6855.74795344409,1075.50455572826,6899.48355242824,82120.7375844407,280587.76602682,431905.815628082,90.1158956596306
ITA.13.5_1,,50.8081982346593,0.00486033916411792,390771.33122086,1341.00228590762,1780.56615589111,19321.3149254101,157112.076494941,496156.97319774,NA,291.40243482611
ITA.13.6_1,,48.4024969164354,0.00402198391369089,2333346.18660248,6797.32687512962,4469.24293260868,68627.5066472492,547071.989935757,741242.208427156,1329639.67679382,343.274088397873
ITA.13.7_1,,38.8383770814061,0.00348465114646168,161455.202231834,2228.71824665202,1138.98042398517,8866.15679303056,59099.4644051243,66893.3246069104,NA,72.4430746122228
ITA.13.8_1,,50.9447055195806,0.00478607532084046,177402.34051192,2083.06968960195,1446.19274186066,8095.28598442664,36395.9003826542,57825.7255087998,NA,85.1639008514493
ITA.14.1_1,,55.3689419518964,0.00655108615516845,542518.151517938,3879.56476704048,3276.00974153186,30568.1631640589,213221.834737984,290703.75214525,812934.836104281,139.839952184069
ITA.14.2_1,,53.6592098365711,0.00643191032069076,122943.004151258,1509.49056324735,1531.00723649859,8595.39721293888,41808.4435223339,153691.363326837,NA,81.4466861500431
ITA.14.3_1,,55.6027277983349,0.00664798414760467,97704.1124104809,1521.06882425448,1404.56160416865,5286.15521192619,22166.2497493281,50824.4509871873,NA,64.2338537563338
ITA.14.4_1,,49.6494081483195,0.00506521425460808,185729.481272155,4842.4635685854,1377.43302685094,4290.60609752842,29494.905660043,58422.1374230289,110519.597730622,38.354337341233
ITA.14.5_1,,47.7334264184397,0.0047531571765977,57189.0166777609,1952.04001402111,814.006290183115,2912.63073263141,35366.0323080882,65383.8153549569,NA,29.2970514267042
ITA.14.6_1,,51.1668158341042,0.00542084199014038,147775.43265855,3242.31323500009,1624.409931379,8160.96919177828,40100.4558355358,81994.598784034,NA,45.5771611031732
ITA.14.7_1,,54.5806442722788,0.0063964199052397,157140.698103101,2840.59104475463,1153.16938379929,7499.16570367022,42889.3391149375,60680.3639877005,NA,55.3197188990909
ITA.14.8_1,,52.2086571076164,0.00580183426578962,331460.927852373,4290.38054483523,2701.20801896434,27969.7832655887,122410.804690592,153579.314309552,484831.036249467,77.2567664775997
ITA.15.1_1,,51.2509699737897,0.00588701479829131,438897.884630374,3068.67239004081,2907.23654382522,15008.1600842268,69432.7018951988,155375.116059438,339108.572064184,143.025331102398
ITA.15.2_1,,53.6177468778908,0.00592916063046763,270712.32233585,2129.70241288246,4786.27882664981,27663.7920602475,92232.4960725174,146389.564139442,NA,127.112746221408
ITA.15.3_1,,55.2700555041628,0.00621621368213999,1106074.06013499,3553.90551861358,3739.82682293164,42020.633461081,402831.391496288,921321.933564308,NA,311.227761779801
ITA.15.4_1,,53.1467345050879,0.00570771989238559,171842.011388507,2560.74796805603,2349.02953577486,8723.53860653128,33614.4135678402,107890.882286257,NA,67.1061789493323
ITA.15.5_1,,47.4252538159112,0.00494351500198082,589812.060927777,3242.66788003869,2486.42408140271,25831.422166621,131178.461240527,347500.345902458,412090.191142144,181.890986911906
ITA.15.6_1,,50.4839856999692,0.00558774980164264,1251659.87026495,4982.72357737364,5078.15605892572,61465.0636507364,513357.512411179,797086.259829393,1358644.82282438,251.199941322994
ITA.15.7_1,,50.7006253854456,0.00596839076107141,311662.308676089,1626.10144525836,3733.5596912108,23898.110886593,87253.1019301029,364410.292506421,NA,191.662278872503
ITA.15.8_1,,51.2718838652482,0.0058241010590896,395685.265562428,2112.32649618053,3706.64614189181,18955.865258611,74520.8711769606,188083.23316954,NA,187.32201971518
ITA.15.9_1,,53.9515649090348,0.00657860527738566,417745.651484174,2466.91651234537,2912.21762618749,14425.5637301336,71270.8222726124,225897.867942716,407174.087436366,169.339193034551
ITA.16.1_1,,50.6102543940796,0.0049195430858286,363681.920599565,3231.9567208791,1322.23123347105,8760.61588780771,80357.4511714385,218694.747146666,NA,112.526853546678
ITA.16.10_1,,51.1567427921677,0.00505215339654342,281144.665483071,3818.82073820927,1194.27703088542,6431.07480914086,47407.8823254419,134585.898728496,382070.403338634,73.6208072481836
ITA.16.2_1,,52.2316283148319,0.00510796378829088,1012938.50470984,3512.46546261429,3002.25565555985,33789.7867453742,248840.193743875,345628.426800173,1519161.11364125,288.38390455117
ITA.16.3_1,,53.3908144465002,0.0056638202135308,225607.043662916,4529.70507371545,1827.55268160711,11935.3793407252,43375.2238588624,93063.2905845437,193304.558537658,49.8061220303388
ITA.16.4_1,,56.0406101603454,0.00606285061838036,330274.322702954,1217.10234337591,3723.69940914691,30340.8389764802,141046.317400445,233180.62216402,495391.041974915,271.361175582706
ITA.16.5_1,,47.3791780373111,0.00463515216169658,401939.332810239,1773.90754047561,1211.32700584723,13720.1172282611,150768.691154838,443995.667701858,NA,226.584150323006
ITA.16.6_1,,50.9570122186247,0.00503659907953172,198697.518974682,1155.92551966536,1520.29224133304,17931.9172207011,155326.39573103,295213.905493353,NA,171.894742000509
ITA.16.7_1,,52.7141734119642,0.0054413782763437,442538.483570477,2447.97224577293,1323.95083482145,12067.5478179783,146147.909214186,387186.657518063,NA,180.777573902088
ITA.16.8_1,,48.8006753006475,0.00478077290313854,305047.455383336,964.067385635402,1390.93876306476,14680.8695956327,95601.2474138584,NA,NA,316.41715084292
ITA.16.9_1,,47.7015361933395,0.00463520169005676,264654.426000523,365.945263884275,3096.96160983591,42065.1397946665,180272.942479027,NA,NA,723.207681912279
ITA.17.1_1,,35.5456483194573,0.00303835986070773,546609.623058899,7395.76434859386,1901.60478907901,16270.3743339761,89018.7187985963,134226.603204349,348344.383520118,73.9084694015196
ITA.17.2_1,,45.9194792630281,0.00408630456578446,574612.891545772,6210.33115767081,1323.50560991276,11909.1706764613,92135.5355080607,185876.310148531,647872.628482859,92.5253222343913
ITA.18.1_1,,50.7812322695035,0.00522416497295297,705700.209663569,6325.49046173108,1148.18504939905,9750.69911512458,88216.5575293149,209343.568378826,854238.061744731,111.564504591861
ITA.18.2_1,,49.5582866944187,0.00504961741695857,236601.261286281,2126.4806452163,1706.39776542975,13694.0110536047,76002.293892946,176143.645246953,NA,111.264243960337
ITA.19.1_1,,44.2452303037311,0.00315235759539309,134414.159412036,3248.13784842742,1118.59014938322,7748.5734892191,23905.8269231606,82439.7393746129,188781.841321535,41.3819134791686
ITA.2.1_1,,52.3979158957755,0.00518536091132632,1253548.19839673,3818.61959327624,5586.52935254781,28280.707630074,275092.303995008,715681.528600978,1541927.16575193,328.272604216444
ITA.2.2_1,,51.9109269966081,0.00550169846931676,391730.222702087,1524.46458818492,7468.53790439464,30613.7000140967,166820.965139739,287306.117277436,NA,256.962494070455
ITA.2.3_1,,54.1274261871724,0.00624223724294582,396319.786511546,1829.67239730816,3568.48384228854,18313.505392769,98412.571777224,247816.296259107,NA,216.606965867014
ITA.2.4_1,,53.4,0.00572393670155842,600159.321012849,6954.2072098921,4778.64652204665,33374.5404193519,84619.4152127832,242028.040193982,596596.971252517,86.3016161150829
ITA.2.5_1,,54.6874944110392,0.00649894677582563,814914.885734006,2765.75129351276,1961.22756420532,11756.12423034,169802.123068348,413017.752496662,NA,294.645034658554
ITA.2.6_1,,54.6285825238976,0.00611016404141273,585811.845123684,2430.69814228786,4708.86185805754,28576.4725884059,193525.582960214,434827.870469309,851577.588258551,241.005592151519
ITA.20.1_1,,33.6910254779525,0.00325066917649961,211112.14455636,3670.64931944867,536.472583813303,4457.97674007263,37748.4799923017,67662.5342365912,311717.483579489,57.5135694488158
ITA.20.2_1,,51.405869950663,0.0049545962606914,1001229.5088415,2124.58891566172,1198.79104199045,16840.1903239424,257419.080612792,564821.15461951,NA,471.257993233794
ITA.20.3_1,,51.8791048026519,0.00505458629570675,241683.820996652,1718.10606839526,876.333817060307,5776.57053070198,58560.8398969789,96107.4066296826,218388.748447459,140.668743008625
ITA.20.4_1,,49.5121359466543,0.00479535275875943,960883.832900563,2478.40554693811,876.083551280714,10185.913335997,189073.12795576,525805.465437126,NA,387.702421860565
ITA.20.5_1,,51.3283612781375,0.00500627056092836,850982.09731915,2090.11407905951,1904.69001476216,18337.4855980468,209929.468958124,479381.021664227,1225084.20404543,407.146244238529
ITA.20.6_1,,52.1771858618563,0.0048347206282074,979374.228952716,3096.64320433632,1603.87059835371,18154.7108013664,263480.830865226,521092.467934692,NA,316.269639195523
ITA.20.7_1,,52.8504128122109,0.00476844268917328,923476.798618292,2720.2899295765,1199.27749992651,12966.8334447471,229195.193319346,464310.767631491,NA,339.477343417604
ITA.3.1_1,,52.6135927382054,0.00547168745243487,196734.911514189,3444.32980582091,2174.87097161187,9759.16170088602,42096.233796257,96459.8687100359,NA,57.1184882416624
ITA.3.2_1,,45.642960800185,0.00429444565103813,365863.07727404,6544.33888756791,1368.83701416902,6097.06878347417,42804.5141145059,96194.4827604651,329481.883733493,55.9052768445502
ITA.4.1_1,,53.6398253931545,0.00588261260512469,349188.193691227,2390.88104765004,1371.69891455392,12464.7503776961,65579.9482702258,190440.863106561,NA,146.050006977319
ITA.4.2_1,,50.7610883055813,0.00530806657048456,687629.77198874,6645.76235085776,1485.75293122883,10009.2193676762,77698.9268740078,192547.218152501,776879.677843218,103.468907807091
ITA.4.3_1,,55.2171137835338,0.00606547629787057,164895.34915513,1714.19177626357,2134.14049682464,7788.39309929435,35984.1293235177,96803.2463696725,NA,96.1942248460397
ITA.4.4_1,,47.2133406567993,0.00523141661704052,518646.945049448,3187.41656049373,2085.14882710241,21502.4904710457,118181.833951025,310359.263290706,NA,162.717026534213
ITA.4.5_1,,54.7369000539624,0.00654662119263026,155026.080369601,1137.46930102718,987.915616240631,6311.98229923728,59316.7856335469,200347.881544061,NA,136.290342279661
ITA.5.1_1,,49.1573579633056,0.00497392313178774,430484.48295666,2788.22812090142,1267.90791305246,9583.97517482636,123468.754541243,318426.671354491,645691.907972522,154.393566196975
ITA.5.2_1,,50.2103395775517,0.00517747221345174,283986.186650954,2071.84910935286,1202.15185056832,10838.3470650722,82619.4851228748,259452.795195031,NA,137.068952255725
ITA.5.3_1,,52.4555976333642,0.00581606870546764,971302.621143855,2643.85532370773,3064.08912329541,31137.9497700364,228050.409726795,317979.717871094,NA,367.381154495892
ITA.5.4_1,,56.2290331097749,0.00634815314655057,3025403.6567765,1187.79373730402,6122.76335706723,83593.9986779011,1413328.01155994,1815513.74795104,NA,2547.07830304222
ITA.5.5_1,,52.8171814292322,0.00583994766769424,1093507.29747717,4942.41086123427,2637.74551877228,21033.5650255123,239320.945654879,533513.238849457,1339458.67288967,221.249776309388
ITA.6.1_1,,51.2744981498612,0.00485991158818696,1038977.97690892,3703.46931562973,2803.11816281412,35403.5609817141,266033.155333375,602915.179155485,1550414.87404931,280.541807791989
ITA.6.2_1,,51.9502162349676,0.00505596457541319,363869.878701053,2623.65832806953,1318.38463847329,10924.4965845987,78989.3441568463,212735.596122751,497499.65711744,138.687981894649
ITA.6.3_1,,50.2309622648782,0.00481669007851876,423981.221401637,2374.022920534,1570.54667763601,17640.8390408778,141059.746353203,246424.359693286,NA,178.591882047318
ITA.6.4_1,,51.8192244835029,0.00477390656302271,739110.538643398,2687.13725132282,2010.95928300902,19807.0559121071,211971.861087406,382960.503915533,NA,275.055000737141
ITA.6.5_1,,50.8132820690718,0.00478054036160961,463510.803037201,3448.71884440505,1857.40118376336,18513.1455273107,127998.629248698,466589.493795558,662344.802223061,134.400867089867
ITA.6.6_1,,49.1134244912118,0.004451600947962,307132.91375222,2586.90518589525,2024.97745761308,19130.531845549,100161.119493026,187449.657137721,NA,118.72600334439
ITA.6.7_1,,52.4485530373111,0.00513782956770972,419571.250539568,1852.36434810815,1674.7651489637,16300.1470323793,98981.9921695094,246652.318354784,NA,226.505790271813
ITA.6.8_1,,51.2975601295097,0.00468358096363434,586262.005363318,2291.31091062129,1540.34840341005,15339.4954513151,157036.735825029,299478.237255834,NA,255.863140460651
ITA.6.9_1,,52.0686467005859,0.00538991782951605,333121.857454186,531.712164289807,1978.33260686034,20621.9673561011,170011.024550167,NA,NA,626.507873670951
ITA.7.1_1,,49.5892611008326,0.00505893698769252,155399.514763753,456.133260683118,1425.15506995133,14902.1845070894,86497.8266722929,NA,NA,340.688847226405
ITA.7.2_1,,49.8652991057663,0.00453482777148388,335444.676240033,2272.63160851653,903.464919817986,8309.65820742897,91583.3284296911,169588.086815212,NA,147.601870440848
ITA.7.3_1,,48.7611391843972,0.00473330429653288,225490.769691628,252.516261935164,4978.02051382412,62106.5806894025,310729.236434352,NA,NA,892.975240341252
ITA.7.4_1,,50.1461368717237,0.00456820167249203,551711.741324565,4821.08101654977,865.256369415671,9551.0832623338,103835.74219975,343461.871779025,796758.605797426,114.437351173036
ITA.8.1_1,,52.4523404255319,0.00560035121564551,501459.547208098,3239.63810087334,753.843316649427,7672.5022688751,96910.4498347333,249049.869492113,752093.955449187,154.788754667663
ITA.8.2_1,,55.4804681236509,0.00653014211017124,588753.857797739,2264.26748930724,1927.95578957314,11798.0308004687,87562.5358357391,251602.34334117,576970.945773355,260.019569497891
ITA.8.3_1,,49.9789222941721,0.00474919255326916,161901.791283902,2744.30955150658,821.301601012049,5062.41303144627,45517.8961454578,85096.6127676559,NA,58.9954552302677
ITA.8.4_1,,54.5229787234043,0.00602590870341172,4300019.39186883,5370.31597361519,4995.41733638032,67935.0528977808,963383.815757884,2265472.58437063,4839165.0811474,800.701376417176
ITA.8.5_1,,52.038484235276,0.00550574146145113,338193.411932147,3615.07531675053,1323.79938498503,6466.35957828075,58852.1904575681,126129.809466641,504546.484213673,93.5508619599488
ITA.9.1_1,,48.189491982732,0.00475605599792459,817929.919078096,1850.00163473398,5056.88972510707,54603.7137293915,245575.087419919,675378.50812806,NA,442.123889904406
ITA.9.2_1,,48.8332653021893,0.00453094865663582,211933.392248099,1163.81129097464,2024.53011129259,12707.1049516831,62453.2503431018,166304.119556555,NA,182.102883767878
ITA.9.3_1,,53.7769850447117,0.00587720236177401,221188.670825644,892.818459597975,2450.40722722774,17828.1521364352,153788.68573514,225895.670493072,NA,247.742044810815
ITA.9.4_1,,48.8089955288313,0.00489940430276641,280772.255460282,1548.62417323806,1962.04429372088,11564.4754489068,60938.2177236203,178198.050568806,NA,181.30432180534